line,passengers,mom
A,3045587.0,0.9160884576896899
B,3767936.0,-0.5920519251778944
C,2260538.0,-4.59868394398153
H,1544000.0,-5.603623255745704
D,2849870.0,-10.83459187443937
E,1334195.0,-11.58685686188493
